WC,MoralEmotional,UniquelyMoral,UniquelyEmotional,Number,Quantitative,PositiveEmotion,NegativeEmotional,Anxious,Anger,Sad,Social,Family,Friendship,Female,Male,CognitiveProcesses,Insight,Causation,Discrepancy,Tentative,Certainty,Differentiation,Perceptual,See,Hear,Feel,BiologicalProcessess,Body,Health,Sexual,Ingestion,Drives,Affiliation,Achievement,Power,Reward,Risk,PastFocus,PresentFocus,FutureFocus,Relativity,Motion,Space,Time,Work,Leisure,Home,Money,Religion,Death
69,0,2.9,0,1.49,1.49,1.49,0,0,0,0,7.46,0,1.49,0,1.49,11.94,2.99,1.49,4.48,1.49,0,2.99,2.99,1.49,1.49,0,1.49,0,1.49,0,0,13.43,1.49,5.97,7.46,1.49,0,4.48,19.4,0,10.45,0,5.97,4.48,13.43,0,0,7.46,0,0
51,1.96,5.88,0,4,4,2,0,0,0,0,16,0,0,0,0,16,0,0,0,2,6,8,0,0,0,0,2,0,2,0,0,8,4,0,4,0,0,0,16,0,12,0,10,2,0,0,0,0,0,0
70,0,7.14,8.57,1.45,7.25,4.35,1.45,0,0,1.45,17.39,1.45,0,0,0,8.7,0,0,1.45,7.25,1.45,1.45,1.45,0,0,1.45,2.9,0,2.9,0,0,11.59,5.8,1.45,4.35,0,0,4.35,11.59,0,14.49,1.45,5.8,7.25,5.8,2.9,1.45,2.9,2.9,0
108,0,4.63,5.56,0.95,0.95,3.81,1.9,0.95,0,0,17.14,0,0,0,0,9.52,0,0,4.76,4.76,0,6.67,0,0,0,0,0.95,0,0.95,0,0,11.43,3.81,1.9,3.81,2.86,0,1.9,14.29,4.76,14.29,4.76,7.62,2.86,4.76,0.95,0.95,1.9,0,0
61,0,9.84,3.28,3.28,1.64,3.28,0,0,0,0,11.48,0,0,0,0,13.11,3.28,4.92,1.64,0,0,3.28,1.64,0,0,0,0,0,0,0,0,16.39,6.56,4.92,3.28,4.92,0,0,9.84,0,8.2,0,1.64,6.56,8.2,0,0,3.28,0,0
80,0,6.25,5,16.18,2.94,1.47,1.47,0,0,1.47,2.94,0,0,0,0,13.24,0,2.94,0,2.94,1.47,5.88,0,0,0,0,0,0,0,0,0,7.35,0,4.41,4.41,0,0,4.41,1.47,0,17.65,2.94,11.76,2.94,8.82,0,1.47,7.35,0,0
76,0,11.84,2.63,1.32,3.95,2.63,1.32,1.32,1.32,0,11.84,0,0,0,0,7.89,0,5.26,1.32,1.32,0,0,0,0,0,0,0,0,0,0,0,14.47,2.63,3.95,9.21,2.63,1.32,0,9.21,0,2.63,0,2.63,0,17.11,0,0,6.58,0,0
62,3.23,8.06,6.45,0,0,6.45,4.84,0,1.61,0,9.68,0,0,0,0,12.9,1.61,0,3.23,0,3.23,6.45,1.61,1.61,0,0,0,0,0,0,0,9.68,1.61,3.23,3.23,1.61,1.61,0,9.68,4.84,4.84,1.61,1.61,1.61,4.84,0,1.61,0,0,0
48,0,14.58,2.08,0,0,0,2.13,2.13,0,0,2.13,0,0,0,0,6.38,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,19.15,2.13,0,14.89,0,2.13,0,12.77,0,21.28,2.13,10.64,4.26,8.51,0,0,0,0,0
44,4.55,9.09,2.27,6.82,9.09,4.55,4.55,2.27,2.27,0,2.27,0,0,0,0,6.82,0,0,0,2.27,2.27,2.27,0,0,0,0,2.27,2.27,0,0,0,11.36,0,2.27,4.55,2.27,2.27,0,6.82,0,13.64,2.27,4.55,4.55,0,0,0,2.27,2.27,2.27
75,0,0,1.33,0,0,1.33,0,0,0,0,8,0,0,1.33,1.33,6.67,1.33,0,1.33,1.33,1.33,4,1.33,0,1.33,0,4,0,2.67,0,0,8,1.33,4,4,1.33,0,1.33,17.33,0,26.67,4,13.33,13.33,5.33,0,0,0,0,0
64,3.12,4.69,0,1.56,1.56,1.56,0,0,0,0,3.12,0,0,0,0,9.38,1.56,0,0,3.12,3.12,1.56,1.56,0,1.56,0,0,0,0,0,0,7.81,0,0,6.25,0,1.56,1.56,7.81,3.12,18.75,1.56,9.38,4.69,4.69,1.56,0,0,0,0
